id,product_type,name,code,description,unit_type,unit_weight,unit_weight_type,status,category
301,Resin,,50101619,"N-OPEN ""O""NATURAL (L-J)-NS",Pcs,0.6,Grams,Active,FG
302,Resin,,50101628,"B-10ML ""I"" WHITE (L-J)-NS",Pcs,3.6,Grams,Active,FG
303,Resin,,50101634,"N-OPEN ""I"" WHITE NEW (L-J)-NS",Pcs,0.54,Grams,Active,FG
304,Resin,,50101712,C-DOUBLESAFE NX U.YELLOW(H)-NS,Pcs,1.71,Grams,Active,FG
305,Resin,,50101719,N-28mcl SUSPENSION WHT APL-NS,Pcs,0.44,Grams,Active,FG
306,Resin,,50101725,B-5ML EX.RG P.GREEN (L)-NS,Pcs,2.8,Grams,Active,FG
307,Resin,,50101725,B-5ML EX.RG P.GREEN (L)-NS,Pcs,2.8,Grams,Active,FG
308,Resin,,50101725,B-5ML EX.RG P.GREEN (L)-NS,Pcs,2.8,Grams,Active,FG
309,Resin,,50101725,B-5ML EX.RG P.GREEN (L)-NS,Pcs,2.8,Grams,Active,FG
310,Resin,,50101725,B-5ML EX.RG P.GREEN (L)-NS,Pcs,2.8,Grams,Active,FG
311,Resin,,50101732,N-BLOCK RG P.GREEN (L)-NS,Pcs,0.62,Grams,Active,FG
312,Resin,,50101943,C-TAMPSAFE SS(R)ROSEPINK(H)-NS,Pcs,1.6,Grams,Active,FG
313,Resin,,50101991,C-TAMPSAFE RSP D.BLUE(H)-NS,Pcs,2.26,Grams,Active,FG
314,Resin,,50102080,C-DOUBLESAFE NX I.YELLOW(H)-NS,Pcs,1.71,Grams,Active,FG
315,Resin,,50102092,C-DOUBLESAFE NX T.GREEN (H)-NS,Pcs,1.73,Grams,Active,FG
316,Resin,,50102092,C-DOUBLESAFE NX T.GREEN (H)-NS,Pcs,1.73,Grams,Active,FG
317,Resin,,50102095,28MM OUTER CAPS WHITE (MAS),Pcs,2.9,Grams,Active,FG
318,Resin,,50102095,28MM OUTER CAPS WHITE (MAS),Pcs,3.1,Grams,Active,FG
319,Resin,,50102095,28MM OUTER CAPS WHITE (MAS),Pcs,3.1,Grams,Active,FG
320,Resin,,50102096,28MM INNER CAPS NATURAL (MAS),Pcs,2.8,Grams,Active,FG
321,Resin,,50102096,28MM INNER CAPS NATURAL (MAS),Pcs,2.8,Grams,Active,FG
322,Resin,,50102096,28MM INNER CAPS NATURAL (MAS),Pcs,2.8,Grams,Active,FG
323,Resin,,50102159,38MM OUTER BLUE (466276) (MAS),Pcs,4.1,Grams,Active,FG
324,Resin,,50102159,38MM OUTER BLUE (466276) (MAS),Pcs,4.1,Grams,Active,FG
325,Resin,,50102396,"B-5ML ""I"" WHITE (L-J)-NS",Pcs,2.541,Grams,Active,FG
326,Resin,,50102427,N-NASAL SPRAY OPEN WHITE (L-J),Pcs,0.66,Grams,Active,FG
327,Resin,,50102427,N-NASAL SPRAY OPEN WHITE (L-J),Pcs,0.66,Grams,Active,FG
328,Resin,,50102428,N-NASAL SPRAY OPEN NAT (L-J),Pcs,0.66,Grams,Active,FG
329,Resin,,50102431,B-30ML OVAL WHITE (L-J)-NS,Pcs,7,Grams,Active,FG
330,Resin,,50102431,B-30ML OVAL WHITE (L-J)-NS,Pcs,7,Grams,Active,FG
331,Resin,,50102609,N-35mcl SOLUTION WHITE ORBI-NS,Pcs,0.46,Grams,Active,FG
332,Resin,,50102609,N-35mcl SOLUTION WHITE ORBI-NS,Pcs,0.46,Grams,Active,FG
333,Resin,,50102864,"B-5ML ""I"" NATURAL 12C-HW(L)-NS",Pcs,3.1,Grams,Active,FG
334,Resin,,50102864,"B-5ML ""I"" NATURAL 12C-HW(L)-NS",Pcs,3.1,Grams,Active,FG
335,Resin,,50102908,N-OPEN RG O.GREEN 64C (L-F)-NS,Pcs,0.62,Grams,Active,FG
336,Resin,,50103048,"C-TAMPSAFE ""O"" P.GREEN (H)-NS",Pcs,2.26,Grams,Active,FG
337,Resin,,50103371,"B-10ML ""I"" O.GREEN 91151(L)-NS",Pcs,3.834,Grams,Active,FG
338,Resin,,50103371,"B-10ML ""I"" O.GREEN 91151(L)-NS",Pcs,3.6,Grams,Active,FG
339,Resin,,50103371,"B-10ML ""I"" O.GREEN 91151(L)-NS",Pcs,3.834,Grams,Active,FG
340,Resin,,50103557,B-5ML RG NATURAL (L-F)-NS,Pcs,2.87,Grams,Active,FG
341,Resin,,50104226,C-TAMPSAFE RSP WT R2 2.0(H)-NS,Pcs,2.26,Grams,Active,FG
342,Resin,,50104511,C-TS RSP R2 PINK197 2.0(H)-NS,Pcs,2.26,Grams,Active,FG
343,Resin,,50104514,C-TAMPSAFE RSP TANBR R2-2.0-NS,Pcs,2.252,Grams,Active,FG
344,Resin,,50104541,SEVO - CAP,Pcs,4.12,Grams,Active,FG
345,Resin,,50104541,SEVO - CAP,Pcs,4.12,Grams,Active,FG
346,Resin,,50104542,SEVO- BODY,Pcs,6.13,Grams,Active,FG
347,Resin,,50104542,SEVO- BODY,Pcs,6.13,Grams,Active,FG
348,Resin,,50104543,SEVO - VALVE STEM,Pcs,0.816,Grams,Active,FG
349,Resin,,50104543,SEVO - VALVE STEM,Pcs,0.816,Grams,Active,FG
350,Resin,,50104543,SEVO - VALVE STEM,Pcs,0.816,Grams,Active,FG
351,Resin,,50104544,SEVO- STEM SUPPORT,Pcs,0.96,Grams,Active,FG
352,Resin,,50104777,24MM SQUEEZE LOC PLGSEAL(PICT),Pcs,3.3,Grams,Active,FG
353,Resin,,50104783,B-5ML RSP WHITE R2(270G)(P)-NS,Pcs,2.38,Grams,Active,FG
354,Resin,,50104883,DPI-CB_MOUTH PIECE WHITE,Pcs,4.5,Grams,Active,FG
355,Resin,,50104883,DPI-CB_MOUTH PIECE WHITE,Pcs,4.5,Grams,Active,FG
356,Resin,,50104909,DPI-CB_BODY WHITE,Pcs,4.566,Grams,Active,FG
357,Resin,,50104910,N-45mcl RSP NAT SUSPENSION-NS,Pcs,0.44,Grams,Active,FG
358,Resin,,50104989,C-TS RSP R2 GREY 2.0(H)-NS,Pcs,2.26,Grams,Active,FG
359,Resin,,50104992,C-TS RSP R2 GRN(348C)2.0(H)-NS,Pcs,2.252,Grams,Active,FG
360,Resin,,50104995,C-TS RSP RED1797 R2 2.0 (H)-NS,Pcs,2.26,Grams,Active,FG
361,Resin,,50105003,C-TS RSP PURPLE R2 2.0 (H)-NS,Pcs,2.252,Grams,Active,FG
362,Resin,,50105006,C-TS RSP BLUE R2 2.0 (H)-NS,Pcs,2.252,Grams,Active,FG
363,Resin,,50105023,C-TS RSP YELLOW110543R2 2.0-NS,Pcs,2.26,Grams,Active,FG
364,Resin,,50105026,DPI-CB_CAP,Pcs,3.4,Grams,Active,FG
365,Resin,,50105026,DPI-CB_CAP,Pcs,3.413,Grams,Active,FG
366,Resin,,50105026,DPI-CB_CAP,Pcs,3.4,Grams,Active,FG
367,Resin,,50105026,DPI-CB_CAP,Pcs,3.4,Grams,Active,FG
368,Resin,,50105034,C-TAMPSAFE RSP TURQ.R2 2.0-NS,Pcs,2.26,Grams,Active,FG
369,Resin,,50105059,DPI-CB_BOTTOM WHITE,Pcs,0.73,Grams,Active,FG
370,Resin,,50105059,DPI-CB_BOTTOM WHITE,Pcs,0.734,Grams,Active,FG
371,Resin,,50105067,C-TAMPSAFE RSP OR1585R2 2.0-NS,Pcs,2.252,Grams,Active,FG
372,Resin,,50105081,DPI-CB_BUTTON BLUE,Pcs,0.435,Grams,Active,FG
373,Resin,,50105081,DPI-CB_BUTTON BLUE,Pcs,0.42,Grams,Active,FG
374,Resin,,50105134,"C-TAMPSAFE ""O"" O GRN 24C(H)-NS",Pcs,2.26,Grams,Active,FG
375,Resin,,50105240,DESFLURANE - CAP,Pcs,4.8,Grams,Active,FG
376,Resin,,50105242,DES - SCREW BASE,Pcs,5.4,Grams,Active,FG
377,Resin,,50105242,DES - SCREW BASE,Pcs,5.4,Grams,Active,FG
378,Resin,,50105278,B-5ML RSP NAT R2 EZI-FLOW-NS,Pcs,2.95,Grams,Active,FG
379,Resin,,50105279,B-5ML RSP WHT R2 EZI-FLOW-NS,Pcs,2.95,Grams,Active,FG
